Date,Company,Type,Jobs Affected,City,Location
12/29/2017,Stagecoach Mall,Closure,5,Fairbury,Fairbury
12/29/2017,Black Hills Energy,Layoff,5,Lincoln,Lincoln
12/28/2017,MJ's Restaurant,Closure,,Scottsbluff,Scottsbluff
12/24/2017,Charming Charlie,Closure,15,Papillion,Papillion
12/23/2017,"Hobbe""s"" Restaurant",Closure,8,North Platte,North Platte
12/23/2017,Cottonwood,Closure,15,Lincoln,Lincoln
12/20/2017,Herzing University,Layoff,8,Omaha,Omaha
12/18/2017,CHS,Closure,63,South Sioux City,South Sioux City
12/15/2017,Buss Stop Petro,Closure,5,Beatrice,Beatrice
12/15/2017,Foster Lumber Company,Closure,6,Sidney,Sidney
12/12/2017,ADM Milling,Layoff,4,Lincoln,Lincoln
12/10/2017,Bread & Cup,Closure,30,Lincoln,Lincoln
12/8/2017,Canfield's Sporting Goods,Closure,,Omaha,Omaha
12/2/2017,Century Link,Layoff,1,Omaha,Omaha
11/30/2017,Data Transmission Network,Layoff,53,Omaha,Omaha
11/12/2017,Smart Room,Closure,,Lincoln,Lincoln
11/11/2017,The Shed Grill & Spirits,Closure,,Scottsbluff,Scottsbluff
11/10/2017,Hood Packaging Corporation,Closure,100,Omaha,Omaha
11/8/2017,Axius Services,Closure,5-Mar,Norfolk,Norfolk
11/7/2017,Penair,Closure,,North Platte,North Platte
11/6/2017,Whiskey Creek Wood Fire Grill,Closure,24,Scottsbluff,Scottsbluff
10/31/2017,Pizza Hut,Closure,12,Gering,Gering
10/27/2017,"Mark of Honor Youth Lodge, Inc.",Closure,10,Lincoln,Lincoln
10/27/2017,"Willsie Cap & Gown, Inc.",Closure,8,Omaha,Omaha
10/22/2017,Gusto Cuban Cafe,Closure,4,Ralston,Ralston
10/22/2017,Boston Market,Closure,,Lincoln,Lincoln
10/20/2017,Life Quest,Closure,12,Palmer,Palmer
10/19/2017,Chevy's Fresh Mex,Closure,,Lincoln,Lincoln
10/8/2017,RHD,Layoff,80,Omaha,Omaha
10/8/2017,RHD,Layoff,80,Lincoln,Lincoln
10/4/2017,McFarland & Sons,Closure,,Lincoln,Lincoln
10/1/2017,Northside Cafe,Closure,,Lincoln,Lincoln
9/30/2017,Together,Layoff,2,Omaha,Omaha
9/29/2017,American Red Cross,Closure,133,Omaha,Recruitment Center
9/27/2017,Rent A Center,Closure,4,Beatrice,Beatrice
8/15/2017,Choice Floor Specialists,Closure,3,York,York
8/11/2017,Joe's Crab Shack,Closure,,Omaha,Omaha
8/4/2017,Dr. Leonard's Healthcare Corporation,Closure,170,Lincoln,Lincoln
7/24/2017,Marshfield Food Safety Services,Closure,18,Schuyler,Schuyler
7/19/2017,Black Hills Energy,Layoff,35,Papillion,Papillion
7/16/2017,Prengers,Closure,25,Norfolk,Norfolk
7/15/2017,Game Cycle,Closure,1,Beatrice,Beatrice
7/15/2017,Doc's Place,Closure,,Lincoln,Lincoln
7/11/2017,Ploughshare,Closure,,Lincoln,Lincoln
7/10/2017,Tiger Town Food and Floral Center,Closure,,Osmond,Osmond
7/1/2017,Good Air Home Medical Equipment,Closure,6,Ogallala,Ogallala
6/30/2017,Integrated Life Choices,Layoff,8,Beatrice,Beatrice
6/30/2017,Nebraska Bull Service,Layoff,14,McCook,McCook
6/23/2017,"MWD Steel Fabrication, LLC",Closure,20,Lincoln,Lincoln
6/16/2017,"Dickey's Barbeque Restaurants, Inc",Closure,,Lincoln,Lincoln
5/22/2017,TCBY,Closure,,Lincoln,O Street - Lincoln
5/1/2017,Speak Out,Closure,4,Scottsbluff,P.O. Box 1066
4/28/2017,Family Christian,Closure,,Lincoln,Lincoln
4/24/2017,Da Buzz,Closure,4,North Platte,North Platte
4/24/2017,Good Samaritan Society,Layoff,40,Wymore,Wymore
4/21/2017,Ragazzi's Pizza,Closure,,Ralston,Ralston
4/17/2017,Epworth Village,Layoff,13,York,York
4/17/2017,Rue 21,Closure,9,North Platte,North Platte
4/17/2017,Rue 21,Closure,12,Lincoln,Lincoln -Wilderness Hills
4/17/2017,Rue 21,Closure,14,Gretna,Gretna
4/17/2017,Gothenburg Medical Arts,Closure,4,Gothernburg,Gothenburg
4/7/2017,Omaha Truck and Trailer,Layoff,2,Bellevue,Omaha
4/1/2017,Nathan Detroit's,Closure,,Grand Island,Grand Island
3/31/2017,Envision,Closure,15,Norfolk,Norfolk
3/31/2017,Resource Real Estate Management,Layoff,6,Omaha,Omaha
3/31/2017,Big Apple Bagels,Closure,3,Norfolk,Norfolk
3/28/2017,Casey's,Closure,15,West Point,West Point
3/27/2017,Hallmark,Closure,13,Lincoln,Norfolk
3/27/2017,Vanity,Closure,7,Grand Island,Grand Island
3/27/2017,Vanity,Closure,7,Kearney,Kearney
3/27/2017,Vanity,Closure,7,Lincoln,Lincoln
3/27/2017,Vanity,Closure,5,Norfolk,Norfolk
3/27/2017,Vanity,Closure,12,North Platte,North Platte
3/27/2017,Vanity,Closure,8,Omaha,Omaha
3/27/2017,Vanity,Closure,5,Omaha,Omaha - California Street
3/27/2017,Vanity,Closure,7,Scottsbluff,Scottsbluff
3/24/2017,Western Convenience Stores - Restaurant,Layoff,9,Hershey,Hershey
3/23/2017,"General Wireless Operations, Inc dba Radio Shack",Closure,5,Omaha,Dodge Street - Omaha
3/23/2017,"General Wireless Operations, Inc dba Radio Shack",Closure,2,Fremont,Eastgate Plaza - Fremont
3/23/2017,"General Wireless Operations, Inc dba Radio Shack",Closure,2,Lincoln,Lincoln Crossing - Lincoln
3/23/2017,"General Wireless Operations, Inc dba Radio Shack",Closure,5,Omaha,Maplewood Plaza - Omaha
3/23/2017,"General Wireless Operations, Inc dba Radio Shack",Closure,4,Omaha,Stockyards Plaza - Omaha
3/23/2017,"General Wireless Operations, Inc dba Radio Shack",Closure,3,Norfolk,Sunset Plaza - Norfolk
3/23/2017,"General Wireless Operations, Inc dba Radio Shack",Closure,3,Lincoln,Van Dorn Plaza - Lincoln
3/21/2017,Delta Enterprises - MidAmerica Vision,Layoff,4,Fairbury,Fairbury
3/18/2017,Sun Mart,Closure,25,Ogalalla,Ogalalla
3/14/2017,Cabela's x,Layoff,70,Sidney,Sidney
3/14/2017,Cabela's Corporation,Layoff,70,Sidney,Cabela's Store - Sidney
3/11/2017,Pizza Shoppe,Closure,8,Omaha,Benson
3/10/2017,Capriottis,Closure,0,Lincoln,S. 11th Street
3/9/2017,Nebraska Book Company,Layoff,40,Lincoln,Lincoln
3/1/2017,Titan Machinery,Layoff,,Broken Bow,Broken Bow
2/28/2017,City of Fairbury,Closure,,Fairbury,Fairbury
2/28/2017,Nebraska State Patrol-Communications Center,Layoff,9,Lincoln,Lincoln
2/27/2017,PureRed Integrated Marketing,Layoff,3,Norfolk,Norfolk
2/23/2017,Creighton University,Layoff,6,Omaha,Omaha
2/22/2017,Amy's Hallmark,Closure,9,Fremont,Fremont
2/21/2017,Lutheran Family Services,Layoff,8,Omaha,Omaha
2/20/2017,Cleaver Brooks,Layoff,2,Lincoln,Lincoln
2/17/2017,Cleaver Brooks,Layoff,23,Lincoln,Lincoln
2/16/2017,First National Bank,Layoff,65,Omaha,Omaha
2/16/2017,Sunmart,Closure,25,Ogallala,Ogallala
2/16/2017,Sunmart,Closure,25,Ogalalla,Ogalalla
2/15/2017,R Way Mental Health Rehabilitation,Closure,25,Wayne,Wayne
2/14/2017,Brix - Village Point,Closure,45,Omaha,Village Point
2/14/2017,Taco Inn,Closure,16,Lincoln,Lincoln
2/3/2017,Sunflower Marketing,Closure,14,Geneva,"Geneva, NE"
1/31/2017,Bentley Fine Jewelry and Repair,Closure,1,Scottsbluff,Scottsbluff
1/31/2017,Shopko xxxx,Closure,75,Omaha,Omaha Store
1/28/2017,Pendleton Woolen Mills,Closure,4,Nebraska City,Nebraska City
1/28/2017,Braeda,Closure,14,Lincoln,Lincoln
1/27/2017,NCI Building Systems,Closure,30,Omaha,Omaha
1/27/2017,Catholic Charities,Closure,28,Omaha,Omaha
1/27/2017,Midwest Medical Transport,Closure,5,North Platte,North Platte
1/26/2017,Simply Mac,Closure,6,Lincoln,Gateway Mall
1/14/2017,The Children's Place,Closure,14,Lincoln,Lincoln
1/14/2017,Zoup,Closure,8,Lincoln,Lincoln
1/12/2017,Brix,Closure,45,Omaha,Midtown Crossing
1/12/2017,Brix,Closure,42,Omaha,Village Point
1/12/2017,Brix - Midtown Crossing,Closure,42,Omaha,Midtown Crossing
1/12/2017,Brix - Village Point,Closure,45,Omaha,Village Point
1/12/2017,Brix - Village Point,Closure,45,Omaha,Village Point
1/11/2017,The Limited,Closure,15,Gretna,Nebraska Crossing Outlet Mall
1/11/2017,The Limited,Closure,15,Omaha,Oakview Mall
1/7/2017,Western Trails Sports Post,Closure,4,Scottsbluff,Scottsbluff
1/7/2017,Yates Motors,Closure,1,Gering,Gering
1/4/2017,Great Wraps,Closure,2,Lincoln,Gateway Mall
1/4/2017,Great Wraps,Closure,0,Lincoln,Gateway Mall
