Date,Company,Type,Jobs Affected,City,Location
10/31/2019,Valley Bowl,Closure,,Scottsbluff,Scottsbluff
10/31/2019,Airhost Restaurant & Lounge,Closure,10,Lincoln,Lincoln
10/30/2019,"Games People Play, Inc",Closure,3,Omaha,Omaha
10/27/2019,Egg & I,Closure,17,Lincoln,Lincoln
10/24/2019,Thurston Manufacturing,Closure,38,Thurston,Thurston
10/22/2019,Regis Salon,Closure,5,Grand Island,Conestoga Mall
10/22/2019,Blue Prairie Brands,Closure,2,Gering,Gering
10/17/2019,Sears Hometown Store,Closure,,North Platte,North Platte
10/5/2019,Major's Convenience Store & Cafe,Closure,2,Roca,Roca
10/4/2019,Bimbo Bakeries,Closure,81,South Sioux City,South Sioux City
9/28/2019,Don & Randy Shoemaker's Truck Station,Closure,20,Lincoln,Lincoln
9/27/2019,Greenbrier Railcar (GBW),Layoff,14,Omaha,Omaha
9/27/2019,The Michael's Cantina at the Market,Closure,25,Omaha,Omaha
9/25/2019,Family Video,Closure,4,Columbus,Columbus
9/25/2019,Kentucky Fried Chicken,Closure,17,S. Sioux City,S. Sioux City
9/25/2019,Kentucky Fried Chicken,Closure,,Columbus,Columbus
9/13/2019,Set the Bar Fitness & Nutrition,Closure,,Norfolk,Norfolk
9/5/2019,MMP Enterprises,Layoff,7,Sidney,Sidney
8/31/2019,Eakes Office Solutions Corporation,Layoff,2,Grand Island,Grand Island - Corporate / Retail
8/31/2019,Charming Charlie,Closure,9,Omaha,Omaha - L Street
8/31/2019,Charming Charlie,Closure,4,Omaha,Omaha - Village Pointe
8/31/2019,Charming Charlie,Closure,9,Lincoln,Lincoln
8/23/2019,Jan's Cleaners & Shirt Laundry,Closure,2,Beatrice,Beatrice
8/20/2019,Tommy's Family Restaurant,Layoff,1,Grand Island,Grand Island
8/20/2019,Union Pacific Railroad,Layoff,55,North Platte,North Platte
8/16/2019,Teriyaki Madness,Closure,,Lincoln,Lincoln
8/14/2019,Peking Palace Chinese Buffett,Closure,,Grand Island,Grand Island
