Company,City,Zip Code,LWIB Area,Notice Date
Lucille’s Smokehouse Bar-B-Que  ,Tempe  ,85282  ,7  ,04/20/2020 
"Macy's Credit and Customer Services, Inc.  ",Tempe  ,85281  ,7  ,01/06/2020 
MAPFRE Insurance - Enterprise Contact Center  ,Gilbert  ,85234  ,7  ,01/13/2020 
Massage Envy  ,Scottsdale  ,85260  ,7  ,04/15/2020 
McCormick Scottsdale  ,Scottsdale  ,85253  ,7  ,03/30/2020 
Medieval Times Dinner & Tournament  ,Scottsdale  ,85258  ,7  ,04/08/2020 
Mind Body  ,Scottsdale  ,85257  ,7  ,4/7/2020
Mindbody  ,Scottsdale  ,85257  ,7  ,04/03/2020 
Movement for Life Inc.  ,San Obispo  ,93401  ,6  ,03/25/2020 
New 4 U (CPES)  ,Douglas  ,85850  ,1  ,05/18/2020 
Nifty thrifty (CPES)  ,Benson  ,86005  ,1  ,05/18/2020 
Northrop Grumman  ,Falls Church  ,22042  ,1  ,03/09/2020 
old spagetti Factory  ,Chandler  ,85226  ,7  ,03/24/2020 
Onni Properties  ,Phoenix  ,85019  ,5  ,03/25/2020 
Open Door  ,Scottsdale  ,85251  ,7  ,04/15/2020 
PAE Government Services  ,Yuma  ,85365  ,9  ,05/28/2020 
Page Elks Lodge 2498  ,Page  ,86040  ,10  ,04/06/2020 
Papersource  ,Pheonix  ,85016  ,5  ,03/27/2020 
Pappas Restaurants  ,Phoenix  ,85003  ,5  ,03/25/2020 
Passport Health  ,Scottsdale  ,85262  ,7  ,03/23/2020 
Paul Martin's American Grill  ,Irvine  ,92618  ,7  ,04/06/2020 
Phoenix Desert Ridege Resort & Spa (JW Marriott)  ,Phoenix  ,85054  ,5  ,06/03/2020 
Phoenix Glendale Renaissance  ,Glendale  ,85305  ,7  ,03/26/2020 
Pima Valve  ,Chandler  ,85226  ,7  ,03/18/2020 
Pineapple Harmany (CPES)  ,Tucson  ,85740  ,6  ,05/18/2020 
Pink Adventure Tours  ,Sedona  ,86336  ,10  ,04/14/2020 
Prospect  ,Phoenix  ,85034  ,7  ,04/09/2020 
Punch Bowl social  ,Phoenix  ,85004  ,5  ,03/18/2020 
RA Kierland Restaurant  ,Scottsdale  ,85254  ,6  ,04/05/2020 
RA Mesa Corp  ,Mesa  ,85204  ,6  ,04/05/2020 
Renaissance Phoenix Downtown Hotel  ,"Phoenix, Arizona  ",85004  ,5  ,06/01/2020 
Renew (CPES)  ,Tucson  ,85740  ,6  ,05/18/2020 
Residence Inn/Courtyard Phoenix Downtown  ,Phoenix  ,85004  ,5  ,03/27/2020 
Roadhouse cinemas  ,Tucson  ,85712  ,6  ,03/18/2020 
Saddle Ranch Chop House  ,Glendale  ,85305  ,7  ,03/27/2020 
Sam Levits  ,Tucson  ,85705  ,6  ,03/25/2020 
Sam Levitz furniture  ,Tucson  ,85705  ,6  ,03/25/2020 
Sanctuary Camelback  ,Phoenix  ,85014  ,5  ,04/02/2020 
SAS Restaurant Ventures (Denny's)  ,Phoenix  ,85022  ,5  ,03/31/2020 
Scottsdale Marriott at McDowell Mountains  ,Scottsdale  ,85260  ,7  ,06/02/2020 
Scottsdale Marriott Old Yown  ,Scottsdale  ,85251  ,7  ,06/04/2020 
Shamrock Farms  ,Phoenix  ,85009  ,5  ,04/02/2020 
Sheraton Phoenix Downtown  ,Phoenix  ,85022  ,5  ,06/02/2020 
Starr Pass Resort & Spa (JW Marriott)  ,Tucson  ,85745  ,6  ,06/01/2020 
Sub-Zero Group Inc  ,Goodyear  ,85340  ,7  ,03/20/2020 
Suit Supply  ,Scottsdale  ,85254  ,7  ,04/08/2020 
Sunnyside market  ,Tucson  ,85740  ,6  ,05/18/2020 
Surprise Honda  ,Surprise  ,85388  ,7  ,03/24/2020 
Surprise Honda  ,Surprise  ,85388  ,7  ,03/25/2020 
Sushi Tucson  ,Tucson  ,85717  ,6  ,04/05/2020 
SW Hotels and Resorts WW llc  ,Scottsdale  ,85251  ,7  ,06/03/2020 
Tanque Verde Ranch  ,Tucson  ,85748  ,6  ,03/27/2020 
TASc  ,Phoenix  ,85017  ,7  ,06/18/2020 
Taylor Farms  ,Yuma  ,85666  ,9  ,03/27/2020 
Taylor farms  ,Salinas  ,93902  ,9  ,04/07/2020 
Tempe mission Palms (Hyatt)  ,Tempe  ,85271  ,7  ,06/19/2020 
