Company,City,Affected Workers,Notice Date,Notice Type,Layoff Begin Date,NAICS Description,County,Workforce Development Area
Riddell Sports Group Inc.,Sun Prairie,109,2/17/2020,CL,4/10/2020,Sporting Goods Stores,Dane,South Central
Bear Down Logistics Central,Sussex,95,2/18/2020,CL,4/13/2020,Local Messengers & Local Delivery,Waukesha,Waukesha-Ozaukee-Washington
Black Horse Carriers Inc.,Pewaukee,68,2/24/2020,CL,2/24/2020,General Freight Trucking Long Distance TL,Waukesha,Waukesha-Ozaukee-Washington
Black Horse Carriers Inc. - Revision 1,Pewaukee,38,2/27/2020,AW,3/7/2020,General Freight Trucking Long Distance TL,Waukesha,Waukesha-Ozaukee-Washington
Cascio Music Co. Inc.,New Berlin,71,2/24/2020,CL,4/20/2020,Musical Instrument & Supplies Stores,Waukesha,Waukesha-Ozaukee-Washington
Cascio Music Co. Inc. - Revision 1,New Berlin,71,4/10/2020,LS,5/29/2020,Musical Instrument & Supplies Stores,Waukesha,Waukesha-Ozaukee-Washington
Cascio Music Co. Inc. - Revision 2,New Berlin,71,5/26/2020,LS,6/30/2020,Musical Instrument & Supplies Stores,Waukesha,Waukesha-Ozaukee-Washington
Semco Windows and Doors,Merrill,141,1/2/2020,CL,12/31/2019,Wood Window & Door Mfg.,Lincoln,North Central
OEMMCCO Inc.,Kenosha,49,1/10/2020,CL,3/31/2020,Machine Shops,Kenosha,Southeast
Eastek Automated Circuit,Menomonee Falls,36,1/28/2020,WR,3/31/2020,Printed Circuit Assembly Mfg,Waukesha,WOW
FPM Heat Treating,Milwaukee,27,1/30/2020,CL,4/1/2020,Metal Heat Treating,Milwaukee,Milwaukee
Marquis Yachts,Pulaski,344,1/30/2020,CL,3/1/2020,Boat Bldg,Brown,Bay Area
Regal Beloit America Inc. - Revision 1,Clinton,57,1/11/2020,AW,1/31/2020,Speed Changer Drive & Gear Mfg,Rock,Southwest
Regal Beloit America Inc. - Revision 2,Clinton,56,3/13/2020,"AW, LS",1/31/2020,Speed Changer Drive & Gear Mfg,Rock,Southwest
Regal Beloit America Inc. - Revision 3,Clinton,56,5/13/2020,LS,1/31/2020,Speed Changer Drive & Gear Mfg,Rock,Southwest
Regal Beloit America Inc. - Revision 4,Clinton,56,6/2/2020,LS,1/31/2020,Speed Changer Drive & Gear Mfg,Rock,Southwest
Kohler Co. - Revision 1,Kohler,75,4/23/2020,"AW, LS",5/3/2020,Misc Fabricated Metal Product Mfg,Sheboygan,Bay Area
