Company,City,Affected Workers,Notice Date,Notice Type,Layoff Begin Date,NAICS Description,County,Workforce Development Area
Bernick's,"Dresser, Superior",25,4/3/2020,WR,4/1/2020,Other Grocery Product Merch Whls,"Polk, Douglas","West Central, Northwest"
Caleres Inc,Port Washington,213,4/3/2020,CL,3/20/2020,Footwear Merch Whls,Ozaukee,WOW
Caleres/Woodlore Manufacturing,Port Washington,28,4/3/2020,CL,3/20/2020,Misc Wood Product Mfg,Ozaukee,WOW
Gray & Associates,New Berlin,28,4/3/2020,WR,4/3/2020,Offices of Lawyers,Waukesha,WOW
La Crosse Area Family YMCA  ,"La Crosse, Onalaska",562,4/3/2020,WR,3/18/2020,Civic & Social Organizations,La Crosse,Western
eImprovement LLC,Pleasant Prairie,60,4/3/2020,CL,4/30/2020,Electronic Shopping and Mail-Order Houses,Kenosha,Southeast
PC/Nametag Inc.,Verona,46,4/3/2020,WR,4/6/2020,Electronic Shopping and Mail-Order Houses,Dane,South Central
Spectra Food Services and Hospitality,Baraboo,172,4/6/2020,CL,3/26/2020,Food Service Contractors,Sauk,South Central
Spectra Food Services and Hospitality - Revision 1,"Baraboo, Black River Falls, Wittenberg",274,6/22/2020,"LS, AW",3/26/2020,Food Service Contractors,"Jackson, Sauk, Shawano","Western, South Central, Bay Area"
Chapter 2 Inc.,Lake Mills,26,4/6/2020,WR,4/3/2020,Special Tool Die Jig & Fixture Mfg,Jefferson,South Central
"Van's Supply & Equipment, Inc.",Green Bay,37,4/6/2020,WR,3/29/2020,New Car Dealers,Brown,Bay Area
YMCA of Greater Waukesha County,"Waukesha, Menomonee Falls, Greenfield, Wauwatosa, New Berlin, Mukwonago",1100,4/6/2020,CL,3/17/2020,Civic & Social Organizations,"Waukesha, Milwaukee","WOW, Milwaukee"
YMCA of Dodge County,Beaver Dam,89,4/6/2020,WR,3/16/2020,Civic & Social Organizations,Dodge,South Central
Uncle Julio's,Brookfield,93,4/6/2020,CL,3/19/2020,Full-service restaurants,Waukesha,WOW
Woodson YMCA,Wausau,300,4/6/2020,CL,3/17/2020,Fitness & Recreational Sports Centers,Marathon,North Central
Geneva Lakes Family YMCA,Lake Geneva,117,4/6/2020,WR,3/17/2020,Civic & Social Organizations,Walworth,Southeast
"Hobby Lobby Stores, Inc.","Appleton, Brookfield, Eau Claire, Franklin, Green Bay, Janesville, Kenosha, Madison, Manitowoc, Menomonee Falls, Monona, Onalaska, Oshkosh, Racine, Rhinelander, Rice Lake, Waukesha, Wausau, Wauwatosa, West Allis, West Bend",639,4/6/2020,CL,3/25/2020,Hobby Toy & Game Stores,"Barron, Brown, Dane, Eau Claire, Kenosha, La Crosse, Manitowoc, Marathon, Milwaukee, Oneida, Outagamie, Racine, Rock, Washington, Winnebago","Bay Area, Fox Valley, Milwaukee, North Central, South Central, Southeast, Southwest, Waukesha-Ozaukee-Washington, West Central, Western"
Greater Green Bay YMCA,"Green Bay, Brussels, Suring",829,4/6/2020,WR,3/15/2020,Civic & Social Organizations,"Brown, Oconto, Door",Bay Area
Manitowoc-Two Rivers YMCA,Manitowoc,219,4/7/2020,CL,4/6/2020,Civic & Social Organizations,Manitowoc,Bay Area
Advanced Pain Management,Greenfield,50,4/7/2020,WR,5/1/2020,Offices of Physicians exc Mental Health,Milwaukee,Milwaukee
Advanced Pain Management - Revision 1,Greenfield,50,5/14/2020,LS,5/1/2020,Offices of Physicians exc Mental Health,Milwaukee,Milwaukee
Advanced Pain Management - Revision 2,Greenfield,56,6/5/2020,AW,5/1/2020,Offices of Physicians exc Mental Health,Milwaukee,Milwaukee
YMCA of the Chippewa Valley,"Chippewa Falls, Eau Claire, New Auburn",557,4/7/2020,CL,3/19/2020,Civic & Social Organizations,"Chippewa, Eau Claire",West Central
Pace Industries,Grafton,381,4/8/2020,WR,3/20/2020,Aluminum Die Casting Foundries,Ozaukee,Waukesha-Ozaukee-Washington
Abercrombie & Fitch,"Appleton, La Crosse, Wauwatosa",123,4/8/2020,CL,4/12/2020,Family Clothing Stores,"La Crosse, Milwaukee, Outagamie","Bay Area, Milwaukee, Western"
Abercrombie & Fitch - Revision 1,La Crosse,28,6/26/2020,LS,7/4/2020,Family Clothing Stores,La Crosse,Western
Prospect International Airport Services Corp.,Milwaukee,48,4/8/2020,WR,4/22/2020,Other Airport Operations,Milwaukee,Milwaukee
American Greetings,Statewide,153,4/8/2020,WR,3/23/2020,All Other Support Services,Statewide,Statewide
Tetra PAK Processing Equipment Inc.,Windsor,39,4/9/2020,CL,7/3/2020,Food Product Machinery Mfg,Dane,South Central
Meetings and Incentives Worldwide Inc,Caledonia,15,4/9/2020,WR,3/5/2020,Convention & Trade Show Organizers,Racine,Southeast
Server Products Inc,Richfield,53,4/9/2020,WR,3/30/2020,Other Com & Service Ind Machinery Mfg,Washington,Waukesha-Ozaukee-Washington
Glacial Community YMCA,"Oconomowoc, Watertown",542,4/9/2020,WR,3/16/2020,Civic & Social Organizations,"Waukesha, Dodge","Waukesha-Ozaukee-Washington, South Central"
Patientpop,Menasha,1,4/10/2020,WR,3/27/2020,Marketing Consulting Services,Winnebago,Fox Valley
"Hooters of America, LLC","Madison, Brookfield",61,4/10/2020,WR,3/16/2020,Full-service restaurants,"Dane, Waukesha","South Central, Waukesha-Ozaukee-Washington"
Scholastic,Milwaukee,53,4/13/2020,WR,3/18/2020,Book & Periodical Merch Whls,Milwaukee,Milwaukee
Safran Aerosystems Services Americas LLC,Menomonee Falls,29,4/13/2020,WR,4/14/2020,Other Elect Equip Repair,Waukesha,Waukesha-Ozaukee-Washington
Nordstrom Inc.,"Madison, Wauwatosa",218,4/14/2020,WR,4/5/2020,Deparment Stores,"Dane, Milwaukee","South Central, Milwaukee"
YMCA of Northern Rock County,"Janesville, Milton",142,4/14/2020,WR,3/27/2020,Civic & Social Organizations,Rock,Southwest
"Bars & Recreation, Inc.",Milwaukeee,38,4/14/2020,WR,3/30/2020,Drinking Places Alcoholic Beverages,Milwaukee,Milwaukee
LSC Communications,Baraboo,393,4/15/2020,WR,4/20/2020,Commercial Gravure Printing,Sauk,South Central
LSC Communications - Revision 1,Baraboo,393,6/24/2020,LS,8/24/2020,Commercial Gravure Printing,Sauk,South Central
Ashley Furniture Industries Inc.,Whitehall,70,4/16/2020,WR,4/16/2020,Upholstered Household Furn Mfg,Trempealeau,Western
Milwaukee Center for Independence,Milwaukee,128,4/17/2020,WR,4/30/2020,Other Individual & Family Services,Milwaukee,Milwaukee
The Finish Line,"Green Bay, Greendale, Janesville, Johnson Creek, Madison, Racine, Wauwatosa",131,4/17/2020,WR,4/12/2020,Shoe Stores,"Brown, Dane, Jefferson, Milwaukee, Racine, Rock","Bay Area, Milwaukee, South Central, Southeast, Southwest"
The Finish Line Macy's,Wauwatosa,3,4/17/2020,WR,4/2/2020,Shoe Stores,Milwaukee,Milwaukee
Baker Manufacturing Company LLC,Evansville,49,4/17/2020,WR,4/20/2020,Other Com & Service Ind Machinery Mfg,Rock,Southwest
Goodwill,"Ashland, Superior",20,4/20/2020,WR,4/16/2020,Used Merchandise Stores,"Ashland, Douglas",Northwest
YMCA of the Fox Cities,"Appleton, Greenville, Kimberly, Neenah",1546,4/20/2020,WR,3/16/2020,Civic & Social Organizations,"Outagamie, Winnebago","Bay Area, Fox Valley"
Emmi Roth,Seymour,32,4/21/2020,WR,4/13/2020,Cheese Mfg,Outagamie,Bay Area
Great Lakes Specialty Finance Inc.,"Wautoma, Portage, Delevan, Milwaukee, Sheboygan, Madison, Appleton, Fond du Lac, Beloit, Janesville, West Bend, Green Bay, Eau Claire, Wausau, Marinette, Hudson, Racine, Marshfield, Superior, Shawano",28,4/21/2020,WR,5/1/2020,Consumer Lending,"Waushara, Columbia, Walworth, Milwaukee, Sheboygan, Dane, Outagamie, Fond du Lac, Rock, Washington, Brown, Eau Claire, Marathon, Marinette, St. Croix, Racine, Shawano","Southeast, Milwaukee, Waukesha-Ozaukee-Washington, Fox Valley, Bay Area, North Central, Northwest, West Central, South Central, Southwest"
Hutchinson Technology Inc.,Eau Claire,110,4/21/2020,WR,5/28/2020,Computer Storage Device Mfg,Eau Claire,West Central
Visionworks,"Kenosha, Milwaukee, Shorewood, West Allis, Wauwatosa, Greendale, Mequon, West Bend, Brookfield, Waukesha, Oconomowoc, Menomonee Falls, Eau Claire, La Crosse",97,4/22/2020,CL,4/5/2020,Optical Goods Stores,"Eau Claire, Kenosha, La Crosse, Milwaukee, Ozaukee, Washington, Waukesha","Southeast, Milwaukee, Waukesha-Ozaukee-Washington, West Central, Western"
Marquis Yachts,Pulaski,117,4/23/2020,WR,6/26/2020,Boat Bldg,Brown,Bay Area
Van Galder Bus / Coach USA,Janesville,258,4/23/2020,WR,3/14/2020,Interurban & Rural Bus Trans,Rock,Southwest
Hi-Crush Services,Whitehall,35,4/23/2020,WR,3/30/2020,Ind Sand Mining,Trempealeau,Western
Hi-Crush Services,Taylor,32,4/23/2020,WR,3/30/2020,Ind Sand Mining,Trempealeau,Western
Bed Bath & Beyond Inc.,Brookfield,55,4/24/2020,WR,4/4/2020,All Other Home Furnishings Stores,Waukesha,Waukesha-Ozaukee-Washington
Metals USA Carbon Flat Rolled Inc,Horicon,10,4/27/2020,WR,4/23/2020,Metal Merch Whls,Dodge,South Central
Global Finishing Solutions,Osseo,94,4/27/2020,WR,4/28/2020,Sheet Metal Work Mfg,Trempealeau,Western
Smart Sand Inc.,Tomah,55,4/28/2020,WR,5/1/2020,Ind Sand Mining,Monroe,Western
The Hertz Corporation,Milwaukee,38,4/28/2020,WR,4/14/2020,Passenger Car Rental,Milwaukee,Milwaukee
Footlocker.com/Eastbay,Wausau,1,4/28/2020,WR,4/26/2020,Managing Offices,Marathon,North Central
Footlocker.com/Eastbay - Revision 1,Wausau,187,5/14/2020,"AW, LS",7/15/2020,Managing Offices,Marathon,North Central
