Company,City,Affected Workers,Notice Date,Notice Type,Layoff Begin Date,NAICS Description,County,Workforce Development Area
DHL Supply Chain,Mequon,59,6/18/2018,CL,8/10/2018,General Freight Trucking Long Distance TL,Ozaukee,Waukesha-Ozaukee-Washington
Piggly Wiggly #24,Menasha,69,6/18/2018,CL,8/18/2018,Supermarkets and Other Grocery Stores,Winnebago,Fox Valley
Wells Fargo,Menomonee Falls,46,6/7/2018,CL,10/1/2018,Portfolio Management,Waukesha,Waukesha-Ozaukee-Washington
BMO Harris Bradley Center,Milwaukee,651,5/24/2018,CL,8/10/2018,Other Spectator Sports,Milwaukee,Milwaukee
"Western Industries, Inc.",Watertown,85,5/18/2018,CL,7/16/2018,Major Household Appliance Manufacturing,Jefferson,South Central
M.G. Design Associates Corporation,Pleasant Prairie,46,5/15/2018,CL,5/9/2018,Marketing Consulting Services,Kenosha,Southeast
Degen-Berglund Inc,La Crosse,30,5/9/2018,WR,7/8/2018,Home Health Equipment Rental,La Crosse,Western
Concentrix,Milwaukee,77,5/8/2018,WR,7/6/2018,Marketing Consulting Services,Milwaukee,Milwaukee
American Girl,Wilmot,185,4/19/2018,CL,6/22/2018,Doll and Stuffed Toy Mfg,Kenosha,Southeast
First Citizens Bank,Brown Deer and Glendale,100,4/9/2018,WR,6/8/2018,Commercial Banking,Milwaukee,Milwaukee
First Citizens Bank - Revision 1,Brown Deer and Glendale,100,5/2/2018,AW,6/8/2018,Commercial Banking,Milwaukee,Milwaukee
First Citizens Bank - Revision 2,Brown Deer and Glendale,111,6/8/2018,AW,6/8/2018,Commercial Banking,Milwaukee,Milwaukee
"Bon Ton Stores (Younkers, Boston Store, BonTon)","Brookfield, Eau Claire, Glendale, Greendale, Janesville, Madison, Marshfield, Milwaukee, Racine, Wauwatosa",2255,4/6/2018,CL,6/5/2018,Department Stores Managing Offices,"Brown, Dane, Eau Claire, Milwaukee, Racine, Rock, Waukesha, Wood","Bay Area, Milwaukee, North Central, South Central, Southeast, Southwest, West Central, WOW"
Sitel Group,Unknown,1,4/2/2018,WR,3/30/2018,All Other Business Support Services,Unknown,Unknown
JC Penny,Wauwatosa,520,3/28/2018,CL,6/2/2018,Electronic Shopping and Mail-Order Houses,Milwaukee,Milwaukee
"Hubbell Lighting, Inc.",Hudson,54,3/26/2018,CL,5/25/2018,Elect Equip & Wiring Merch Whls,St. Croix,West Central
Syverson Lutheran Home,Eau Claire,80,3/26/2018,CL,3/26/2018,Nursing Care Facilities (Skilled Nursing),Eau Claire,West Central
"Toys ""R"" Us, Inc.","Appleton, Brookfield, Green Bay, Madison, Onalaska, Milwaukee, Racine, and Janesville",326,3/15/2018,CL,5/14/2018,Hobby Toy & Game Stores,"Brown, Dane, La Crosse, Milwaukee, Outagamie, Racine, Rock, and Waukesha","Bay Area, Milwaukee, South Central, Southeast, Southwest, Western, and WOW"
"Toys ""R"" Us, Inc. - Revision 1","Appleton, Brookfield, Green Bay, Madison, Onalaska, Milwaukee, Racine, and Janesville",326,5/30/2018,LS,6/16/2018,Hobby Toy & Game Stores,"Brown, Dane, La Crosse, Milwaukee, Outagamie, Racine, Rock, and Waukesha","Bay Area, Milwaukee, South Central, Southeast, Southwest, Western, and WOW"
"ALKAR-RapidPak, Inc.",Lodi,30,3/8/2018,WR,3/8/2018,Food Product Machinery Mfg,Columbia,South Central
Foremost Farms USA,Rothschild,110,3/5/2018,CL,5/7/2018,Dry Condensed & Evaporated Dairy Products,Marathon,North Central
Care and Rehab - Dallas,Dallas,49,3/5/2018,CL,5/1/2018,Nursing Care Facilities (Skilled Nursing),Barron,West Central
"Cordstrap USA, Inc.",Sturtevant,36,2/26/2018,WR,5/1/2018,Rope Cordage & Twine Mills,Racine,Southeast
"Uniek, Inc.",Waunakee,58,2/23/2018,WR,4/30/2018,All Other Plastics Product Mfg,Dane,South Central
Gannett Publishing Services,Appleton,137,2/13/2018,CL,5/1/2018,Commercial Gravure Printing,Outagamie,Bay Area
Gannett Publishing Services - Revision 1,Appleton,137,3/23/2018,LS,5/1/2018,Commercial Gravure Printing,Outagamie,Bay Area
Gannett Publishing Services - Revision 2,Appleton,137,5/18/2018,LS,5/1/2018,Commercial Gravure Printing,Outagamie,Bay Area
Gannett Publishing Services - Revision 3,Appleton,137,6/8/2018,LS,5/1/2018,Commercial Gravure Printing,Outagamie,Bay Area
"Mike Flint Enterprises, Inc. (dba Interim Healthcare of Wisconsin; dba Mallatt's Homecare Pharmacy)",Madison and Menomonee Falls,168,2/7/2018,CL,4/1/2018,"Temporary Help Services, Other Direct Selling Estab",Dane and Waukesha,South Central and WOW
Interim Healthcare of Wisconsin - Revision 1,Madison,98,5/29/2018,LS,8/1/2018,Temporary Help Services,Dane,South Central
Compass Group,Hudson,3,2/1/2018,CL,4/1/2018,Janitorial Services,St. Croix,West Central
Younkers,Appleton,75,1/31/2018,CL,4/1/2018,Department Stores exc Discount,Outagamie,Bay Area
Younkers,Wausau,63,1/31/2018,CL,4/1/2018,Department Stores exc Discount,Marathon,North Central
"Saputo Cheese USA, Inc.",Fond du Lac,120,1/30/2018,CL,3/31/2018,Cheese Mfg,Fond du Lac,Fox Valley
"Saputo Cheese USA, Inc. - Revision 1",Fond du Lac,120,3/30/2018,LS,3/31/2018,Cheese Mfg,Fond du Lac,Fox Valley
ACCO Brands,Pleasant Prairie,26,1/22/2018,CL,3/23/2018,Stationery Product Mfg,Kenosha,Southeast
Sam's Club,Madison,129,1/16/2018,CL,3/16/2018,Warehouse Clubs and Supercenters,Dane,South Central
"Lake Country Foods, Inc.",Oconomowoc,91,1/12/2018,CL,3/16/2018,Dry Condensed & Evaporated Dairy Products,Waukesha,Waukesha-Ozaukee-Washington
Sam's Club,West Allis,165,1/11/2018,CL,3/16/2018,Warehouse Clubs and Supercenters,Milwaukee,Milwaukee
Sears Holdings,Brookfield,59,1/10/2018,WR,3/18/2018,Department Stores,Waukesha,Waukesha-Ozaukee-Washington
Sears Holdings,Green Bay,43,1/10/2018,WR,4/8/2018,Department Stores,Brown,Bay Area
F + W Media,Iola,41,12/22/2017,WR,12/21/2017,Periodical Publishers,Waupaca,Fox Valley
F + W Media - Revision 1,Iola,0,1/29/2018,RN,12/21/2017,Periodical Publishers,Waupaca,Fox Valley
Centro Hispano Milwaukee,Milwaukee,88,11/17/2017,WR,1/21/2018,Other Individual & Family Services,Milwaukee,Milwaukee
K-Mart,Stevens Point,45,11/13/2017,CL,1/21/2018,Discount Department Stores,Portage,North Central
"Authenticom, Inc.",La Crosse,55,11/8/2017,WR,2/2/2018,Data Processing Hosting & Related Services,La Crosse,Western
"Bosch Packaging Technology, Inc.",Shell Lake and New Richmond,35,11/6/2017,CL,1/1/2018,Ind Machinery Merch Whls,St. Croix and Washburn,Northwest and West Central
Ryder Integrated Logistics Inc,Greenville,159,10/30/2017,CL,12/31/2017,General Freight Trucking Long Distance TL,Outagamie,Bay Area
"U.S. Paper Converters, Inc.",Appleton,52,10/23/2017,CL,12/31/2017,All Other Converted Paper Product Mfg.,Outagamie,Bay Area
"U.S. Paper Converters, Inc. - Revision 1",Appleton,52,11/15/2017,LS,12/21/2017,All Other Converted Paper Product Mfg.,Outagamie,Bay Area
Molina Healthcare Inc.,Milwaukee,53,10/17/2017,WR,12/15/2017,Managing Offices,Milwaukee,Milwaukee
Molina Healthcare Inc. - Revision 1,Milwaukee,59,12/11/2017,"AW, LS",3/1/2018,Managing Offices,Milwaukee,Milwaukee
