Notice Date,Company,COUNTY_NAME,WDA_NAME,TOTAL_LAYOFF_NUMBER,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME
7-Dec-15,Cameron International Corp.-Topsides Controls Group,Harris,Gulf Coast WDA,55,1-Feb-16,7-Dec-15,Houston
7-Dec-15,"Aramark Healthcare Services, LLC",Harris,Gulf Coast WDA,324,7-Dec-16,7-Dec-15,Houston
1-Dec-15,"YP Holdings, LLC",Dallas,Dallas County WDA,100,30-Jan-15,1-Dec-15,Dallas
30-Nov-15,"Arruth Associates,Inc.",Harris,Gulf Coast WDA,93,25-Nov-15,30-Nov-15,Houston
30-Nov-15,Sulzer Pumps (US) Inc.,Waller,Gulf Coast WDA,115,29-Jan-16,30-Nov-15,Brookshire
30-Nov-15,Noble Drilling (US) LLC - Noble Jim Day Rig,Fort Bend,Gulf Coast WDA,130,26-Jan-16,30-Nov-15,Sugar Land
30-Nov-15,Boeing Company,Harris,Gulf Coast WDA,5,22-Jan-16,30-Nov-15,Houston
19-Nov-15,"Williams Sonoma, Inc.",Tarrant,Tarrant County WDA,85,19-Jan-16,19-Nov-15,Arlington
17-Nov-15,"AECOM-Flint Energy Services, Inc.-Kilgore",Gregg,East Texas WDA,43,16-Jan-16,17-Nov-15,Kilgore
17-Nov-15,"AECOM-Flint Energy Services, Inc.-Victoria",Victoria,Golden Crescent WDA,43,15-Jan-16,17-Nov-15,Victoria
17-Nov-15,Jacobs Field Services N.A.-Marathon Galveston Bay,Galveston,Gulf Coast WDA,196,23-Jan-16,17-Nov-15,Texas City
16-Nov-15,First Transit-Transit Management-McKinney,Collin,North Central Texas WDA,70,16-Jan-16,16-Nov-15,McKinney
16-Nov-15,First Transit-Transit Management -Sherman,Grayson,Texoma WDA,70,16-Jan-16,16-Nov-15,Sherman
13-Nov-15,"Topsail Staffing, LLC-HealthPRO",Dallas,Dallas County WDA,15,31-Dec-15,13-Nov-15,Dallas
